"year","author_name","total_count"
"2024","秋野かえで",1
"2024","风扇滑翔翼",1
"2025","Aaron Chen",2
"2025","ClaytonKnittel",1
"2025","Lu jicong",1
"2025","Robot5",1
"2025","Shelikhoo",11
"2025","Tatsuya Kawano",2
"2025","Vigilans",1
"2025","Xiaokang Wang (Shelikhoo)",10
"2025","Xuesong",1
"2025","dependabot[bot]",15
"2025","oweid",1
"2025","renovate[bot]",31
"2025","ty",1
"2025","zonyitoo",7
